,Agreeableness,Animacy2rational,Anthropomorphism2rational,Conscientiousness,Emotions,Extroversion,Intelligence2rational,Interactions,Likability2rational,Neuroticism,Openness,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,Q5.1,Q7.1,Safety2rational,Social_Influence,agree2rational,analyst,bartender,iAnimacy,iAnthropomorphism,iIntelligence,iLikability,iSafety,id,investments,irrational_agree,jury,prefer,rAnimacy,rAnthropomorphism,rIntelligence,rLikability,rSafety,rational_agree
count,225.0,227.0,227.0,225.0,227.0,225.0,227.0,227.0,227.0,225.0,225.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0
mean,3.688888888888889,0.11894273127753303,0.23876651982378855,3.9298765432098763,9.400881057268723,2.886111111111111,0.39030837004405283,13.881057268722467,0.15506607929515417,2.5716666666666668,3.6844444444444444,0.3436123348017621,0.46255506607929514,0.42731277533039647,0.3744493392070485,0.3920704845814978,0.2775330396475771,0.19823788546255505,0.04845814977973568,15.030837004405287,0.2926368785399623,0.3039647577092511,0.44052863436123346,2.792217327459618,2.4898678414096915,3.166519823788546,3.4237885462555067,3.2819383259911894,54374399.51101322,0.32599118942731276,0.35368156073001883,0.29515418502202645,0.2907488986784141,2.911160058737151,2.72863436123348,3.556828193832599,3.5788546255506613,3.3303964757709252,0.6463184392699811
std,0.7485288334206514,0.6090907985956637,0.8573958685078293,0.7726725242352124,2.792626054854141,0.974859129526228,0.9437701610437442,4.709145943205084,0.7341893187667587,1.0250435530816657,0.7242470090782082,0.4759631031911947,0.49969777619029987,0.4957815890486541,0.48504997538070044,0.4892911925593346,0.4487712748042061,0.39955337429725596,0.6145573601018556,4.002645221019504,0.46732371423639846,0.4609840941243756,0.49754768777482394,0.7568261158740045,0.875645643049366,0.8237233368475275,0.8363202742413753,0.656112446080853,25499907.57871704,0.46977989565807116,0.23366185711819923,0.45712002259783124,0.4551114454939341,0.7813036375013608,0.9172966164392494,0.7631354636227823,0.7896972148628472,0.6487194779631663,0.23366185711819923
min,1.4444444444444444,-1.833333333333333,-2.2,1.4444444444444444,3.0,1.0,-2.2,6.0,-2.4,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,5.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10877121.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4,1.0,1.6666666666666667,0.0
25%,3.111111111111111,0.0,-0.19999999999999973,3.333333333333333,8.0,2.125,0.0,10.0,0.0,1.75,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.14285714285714285,0.0,0.0,2.333333333333333,1.8,2.6,3.0,3.0,32269295.5,0.0,0.14285714285714285,0.0,0.0,2.5,2.0,3.0,3.0,3.0,0.5714285714285714
50%,3.6666666666666665,0.0,0.19999999999999973,4.0,10.0,3.0,0.19999999999999973,13.0,0.0,2.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.14285714285714285,0.0,0.0,2.833333333333333,2.6,3.2,3.4,3.333333333333333,55954556.0,0.0,0.42857142857142855,0.0,0.0,3.0,2.8,3.6,3.6,3.333333333333333,0.5714285714285714
75%,4.333333333333333,0.3333333333333335,0.7999999999999999,4.5555555555555545,11.0,3.5,1.0,17.0,0.3999999999999999,3.25,4.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33333333333333304,18.0,0.7142857142857144,1.0,1.0,3.333333333333333,3.1,3.8,4.0,3.6666666666666665,75111673.5,1.0,0.42857142857142855,1.0,1.0,3.333333333333333,3.4,4.0,4.0,3.6666666666666665,0.8571428571428572
max,5.0,2.166666666666667,2.8,5.0,15.0,5.0,3.6,27.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,25.0,1.0,1.0,1.0,4.833333333333333,4.4,5.0,5.0,5.0,99952033.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0
