,Q10.1,Q14.1,Q16.1,Q18.1
half,0.3103448275862069,0.3017241379310345,0.1724137931034483,0.3706896551724138
rational,0.6896551724137931,0.6982758620689655,0.8275862068965517,0.6293103448275862
