,Q10.1,Q14.1,Q16.1,Q18.1
irrational,0.3783783783783784,0.5585585585585585,0.6216216216216216,0.3783783783783784
rational,0.6216216216216216,0.44144144144144143,0.3783783783783784,0.6216216216216216
