,Investments,Analyst,Jury,Bartender,Prefer
1,153.0,158.0,160.0,127.0,161.0
0,74.0,69.0,67.0,100.0,66.0
chi_square_p_value,1.5763216068455923e-07,3.4810325654085433e-09,6.716462367201878e-10,0.07312448598589047,2.875035236288949e-10
chi_square_statistics,27.493392070484582,34.8942731277533,38.10132158590309,3.211453744493392,39.757709251101325
