,Anthropomorphism,Animacy,Likability,Intelligence,Safety
Interactions,0.13*,0.08,-0.12*,-0.16**,0.05
Social_influence,-0.03,-0.04,-0.23***,-0.2***,0.08
Emotions,-0.09,-0.11*,-0.17***,-0.13*,-0.02
Extroversion,0.06,0.06,0.1,0.08,0.1
Agreeableness,-0.0,0.07,0.13**,0.24***,0.08
Conscientiousness,-0.0,0.03,0.12*,0.1,0.05
Neuroticism,0.07,0.02,0.0,0.06,-0.06
Openness,-0.08,-0.04,0.14**,0.29***,-0.03
Agreement,0.13**,0.02,0.06,0.22***,0.13**
