,Q9,Q11,Q14,Q16,Q18,Q20,Q22
4,"a,a_and_b,b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
5,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
6,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a,a_or_b,b","a_or_d,d,a"
7,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
8,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
9,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
10,"a,a_and_b,b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
11,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","d,a_or_d,a"
12,"a,a_and_b,b","c,c_and_d,d","b,b_or_d,d","c,c_and_a,a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
13,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","d,a_or_d,a"
14,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
15,"a,a_and_b,b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
16,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","d,a_or_d,a"
17,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
18,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
19,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,c_and_a,a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
20,"a,a_and_b,b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
21,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a,a_or_b,b","d,a_or_d,a"
22,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,c_and_a,a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
23,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","d,a_or_d,a"
24,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
25,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
26,"a,a_and_b,b","c,c_and_d,d","b,b_or_d,d","c,c_and_a,a","c_or_b,c,b","a,a_or_b,b","d,a_or_d,a"
27,"a,a_and_b,b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
