,deployment,category_by,statistics,p_value
0,ri,side,0.22405787418183365,5807.0
0,ri,robot,0.01616526960327024,5164.0
0,ri,rationality,0.04560666441868139,5374.0
0,rh,side,0.23781115167302974,6367.0
0,rh,robot,0.10535826670117776,6095.0
0,rh,rationality,6.692564537250401e-29,1121.0
0,ih,side,0.020279126057125296,4530.0
0,ih,robot,0.12327028659906658,4911.0
0,ih,rationality,3.6282783162972265e-10,2768.0
