,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,dep,gs3,pa,p1
120,6.0,6.0,6.0,3.75,1.4444444444444444,5.0,1.0,3.9,01,-0.6000000000000001,-0.2857142857142857,0.14285714285714285
121,13.0,18.0,9.0,2.625,3.888888888888889,4.0,2.25,2.6,01,-1.0,0.0,0.0
122,8.0,10.0,4.0,2.0,4.111111111111111,4.0,2.5,4.6,01,0.20000000000000018,-0.28571428571428575,0.42857142857142855
123,16.0,15.0,10.0,2.625,3.7777777777777777,3.4444444444444446,2.875,3.2,01,1.4,-0.7142857142857143,0.0
124,14.0,14.0,9.0,2.625,3.2222222222222223,3.6666666666666665,2.0,3.8,01,-2.0,0.28571428571428575,0.7142857142857143
125,9.0,12.0,7.0,3.5,3.2222222222222223,2.4444444444444446,3.75,4.7,01,0.8000000000000003,0.42857142857142855,0.42857142857142855
126,13.0,15.0,9.0,3.625,4.222222222222221,4.111111111111111,1.875,4.3,01,-0.39999999999999947,0.0,0.14285714285714285
127,13.0,15.0,6.0,3.25,4.333333333333333,4.666666666666667,2.375,2.7,01,0.7999999999999998,0.42857142857142855,0.42857142857142855
128,15.0,15.0,9.0,2.5,3.333333333333333,4.111111111111111,3.0,4.2,01,0.7999999999999998,0.5714285714285714,0.7142857142857143
129,12.0,16.0,8.0,1.75,2.555555555555556,3.555555555555556,5.0,3.9,01,-1.0,0.5714285714285714,0.7142857142857143
130,14.0,19.0,10.0,2.5,3.2222222222222223,3.7777777777777777,2.75,4.3,01,0.19999999999999973,0.5714285714285714,0.14285714285714285
131,10.0,11.0,6.0,4.25,2.6666666666666665,4.0,3.0,4.3,01,0.40000000000000036,0.0,0.0
132,14.0,15.0,8.0,3.125,2.6666666666666665,2.7777777777777777,4.0,3.6,01,-1.0,0.7142857142857143,0.7142857142857143
133,10.0,14.0,6.0,1.25,3.0,2.333333333333333,3.875,2.7,01,0.6000000000000001,-0.2857142857142857,0.14285714285714285
134,20.0,17.0,11.0,2.0,4.0,4.5555555555555545,3.375,3.2,01,2.2,0.42857142857142855,0.42857142857142855
135,10.0,10.0,7.0,2.875,3.2222222222222223,3.7777777777777777,2.125,4.0,01,0.3999999999999999,0.0,0.7142857142857143
136,24.0,19.0,11.0,2.125,3.0,2.888888888888889,3.25,2.5,01,-0.7999999999999998,1.1428571428571428,0.7142857142857143
137,15.0,17.0,12.0,3.125,3.111111111111111,3.7777777777777777,1.5,3.5,01,2.0,-0.42857142857142855,0.0
138,6.0,7.0,3.0,3.75,4.777777777777779,4.111111111111111,3.125,4.9,01,0.7999999999999998,0.42857142857142855,0.42857142857142855
139,10.0,11.0,8.0,3.375,3.111111111111111,2.4444444444444446,3.875,4.6,01,-0.19999999999999973,0.5714285714285714,0.7142857142857143
140,13.0,13.0,6.0,4.125,4.5555555555555545,3.111111111111111,1.625,3.6,01,0.20000000000000018,-0.5714285714285714,-0.42857142857142855
141,27.0,23.0,5.0,3.5,3.4444444444444446,3.111111111111111,3.625,4.0,01,1.0,-0.5714285714285714,0.14285714285714285
142,9.0,9.0,12.0,3.375,4.666666666666667,4.333333333333333,2.375,4.2,01,0.20000000000000018,-0.2857142857142857,0.14285714285714285
143,18.0,17.0,12.0,2.75,4.0,4.0,2.875,3.5,01,0.6000000000000001,0.8571428571428572,0.7142857142857143
144,13.0,12.0,8.0,3.125,3.555555555555556,3.888888888888889,2.5,3.3,01,-1.0,0.28571428571428575,0.7142857142857143
145,12.0,11.0,3.0,1.25,3.333333333333333,3.4444444444444446,4.5,4.1,01,-0.7999999999999998,-0.2857142857142857,-0.14285714285714285
146,20.0,19.0,12.0,2.0,3.7777777777777777,4.222222222222221,2.5,2.1,01,0.7999999999999998,-0.7142857142857143,0.0
147,9.0,12.0,9.0,1.0,4.111111111111111,4.4444444444444455,3.75,3.6,01,-1.6,0.5714285714285714,0.14285714285714285
148,13.0,10.0,6.0,3.75,4.222222222222221,4.222222222222221,1.625,3.0,01,0.7999999999999998,0.28571428571428575,0.7142857142857143
149,15.0,11.0,7.0,1.625,4.0,3.0,4.625,4.0,01,0.7999999999999998,-0.5714285714285714,0.14285714285714285
150,14.0,12.0,8.0,1.125,3.888888888888889,4.5555555555555545,4.0,3.5,01,0.3999999999999999,-0.28571428571428575,0.42857142857142855
151,7.0,9.0,6.0,1.375,3.888888888888889,4.111111111111111,2.0,3.9,01,0.6000000000000001,0.28571428571428575,0.7142857142857143
152,14.0,18.0,13.0,4.375,4.333333333333333,5.0,2.25,3.1,01,2.4,-0.7142857142857143,0.0
153,9.0,16.0,6.0,3.625,4.888888888888889,4.888888888888889,1.0,3.6,01,1.4,0.0,0.14285714285714285
154,12.0,13.0,8.0,1.875,3.0,2.6666666666666665,2.5,3.7,01,-1.0,0.42857142857142855,0.42857142857142855
155,11.0,14.0,8.0,2.125,4.777777777777779,4.777777777777779,1.125,3.2,01,0.0,0.0,0.14285714285714285
156,21.0,21.0,14.0,2.75,4.333333333333333,4.777777777777779,2.375,3.4,01,-0.40000000000000036,0.8571428571428571,0.42857142857142855
157,10.0,13.0,9.0,4.25,3.6666666666666665,4.333333333333333,2.125,4.1,01,0.5999999999999996,0.42857142857142855,0.42857142857142855
158,9.0,13.0,5.0,3.0,4.888888888888889,4.777777777777779,2.625,4.2,01,0.3999999999999999,-0.5714285714285714,0.14285714285714285
159,23.0,20.0,15.0,3.875,3.6666666666666665,4.888888888888889,2.375,2.7,01,-1.7999999999999998,0.8571428571428572,0.7142857142857143
160,13.0,14.0,10.0,1.875,2.888888888888889,4.222222222222221,2.0,3.6,01,-0.7999999999999998,0.2857142857142857,0.14285714285714285
161,15.0,14.0,7.0,2.125,2.4444444444444446,2.1111111111111107,4.625,3.3,01,0.0,-0.14285714285714285,-0.14285714285714285
162,9.0,16.0,6.0,2.25,4.111111111111111,3.6666666666666665,2.5,4.0,01,1.4,0.42857142857142855,0.42857142857142855
163,19.0,21.0,11.0,4.25,4.5555555555555545,4.333333333333333,1.875,3.8,01,1.6,-0.42857142857142855,0.0
164,13.0,14.0,10.0,1.25,3.333333333333333,3.7777777777777777,1.75,2.8,01,1.3999999999999995,0.0,0.0
165,16.0,15.0,9.0,2.5,2.333333333333333,2.555555555555556,3.5,3.3,01,-1.2000000000000002,-0.28571428571428575,0.42857142857142855
166,11.0,11.0,6.0,3.625,4.333333333333333,4.666666666666667,1.75,4.0,01,0.7999999999999998,-0.42857142857142855,0.0
167,6.0,5.0,4.0,2.75,5.0,5.0,1.125,5.0,01,4.0,0.14285714285714285,0.14285714285714285
