,deployment,category_by,statistics,p_value
0,I2,I1r,0.23019569341907614,-1.2065454355175889
0,I2,I2,4.9937731411827e-06,4.818677534260902
0,I2_I1r,I2_I2,9.987253815158823e-06,3838.5
0,I1,I1r,9.196440294732413e-21,-11.467745206460217
0,I1,I2,4.993773141182541e-06,-4.818677534260909
0,I1_I1r,I1_I2,0.00026957989712797693,4435.5
0,I2_I1r,I1_I1r,2.6306380377119767e-10,3389.0
