,deployment,category_by,statistics,p_value
0,irr2,i1r,-1.2065454355175889,0.23019569341907614
0,irr2,i2,4.818677534260902,4.9937731411827e-06
0,irr2,irr2,-4.1672107845367075,4.4828986936406316e-05
0,irr1,i1r,-11.467745206460217,9.196440294732413e-21
0,irr1,i2,-4.818677534260909,4.993773141182541e-06
0,irr1,irr1,-3.5806240158944482,0.0004225786799916257
0,irr2_i1r,irr1_i1r,6.0845986350816315,4.975465850632605e-09
