,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
9,RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",47.370697021484,40.498092651367,32.660598754883,33.176895141602,45.544204711914,47.820907592773,41.573806762695,40.53059387207,41.785293579102,34.048599243164,40.259399414062,41.063903808594,43.863494873047,34.719299316406,42.750503540039,42.49690246582,42.397094726562,40.315505981445,45.450897216797,47.804901123047,42.056396484375,27.736206054688,41.604507446289,36.064300537109,43.115707397461,47.631896972656,40.919403076172,42.624099731445,33.866104125977,38.393905639648,37.3697052,29.58920288,39.88340759,36.63549805,34.77659607,41.7769928,40.72799683,44.46980286,34.92730713,-12.04330444,44.06900024,34.09049988,34.7743988,30.49980164,44.06559753,39.90170288,36.16589355,41.18040466,36.19200134,34.15390015,32.16560364,41.2808075,42.60960388,34.03900146,40.8782959,33.9414978,32.97219849,34.16130066,32.79640198,36.33999634,40.153793334961,32.626800537109,39.479202270508,35.371505737305,38.793395996094,33.24870300293,38.112899780273,37.766204833984,40.049102783203,32.328903198242,30.137496948242,33.520904541016,39.843597412109,33.16259765625,40.784896850586,23.033294677734,33.724197387695,40.597503662109,39.366806030273,45.016098022461,40.102996826172,40.866897583008,42.010604858398,37.062698364258,36.000793457031,27.947494506836,42.886306762695,40.668701171875,38.833694458008,41.134292602539,40.476303100586,42.458602905273,35.882598876953,30.004104614258,30.167205810547,30.143798828125,38.210800170898,39.532699584961,25.766494750977,32.311798095703,47.631896972656,37.218994140625,42.988800048828,47.287506103516,35,33.760604858398,41.280807495117,37.751007080078,36.302200317383,29.720306396484,34.496795654297,38.693206787109,32.165603637695,32.213195800781,39.125198364258,40.278793334961,26.278503417969,34.257202148438,41.740097045898,39.46110534668
14,LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.35929870605,-74.319396972656,-97.02490234375,-96.698501586914,-122.64309692383,-122.31510162354,-90.458198547363,-76.622901916504,-87.773399353027,-117.01429748535,-81.96410369873,-72.429000854492,-70.097602844238,-86.560401916504,-71.009300231934,-83.23210144043,-83.373199462891,-87.396003723145,-122.69619750977,-122.28329467773,-71.119903564453,-82.669097900391,-87.995597839355,-87.430198669434,-87.99340057373,-122.29679870605,-73.860702514648,-71.338897705078,-118.05279541016,-81.564598083496,-122.0214005,-98.29389954,-83.83000183,-88.28299713,-76.88670349,-72.52359772,-73.94529724,-123.3430023,-78.90930176,-77.02829742,-123.0825043,-118.1343994,-106.7274017,-97.80819702,-93.52700043,-74.18219757,-86.78440094,-79.05970001,-85.4559021,-117.9918976,-85.67079926,-75.89620209,-83.0515976,-117.7547989,-74.08129883,-118.1306992,-96.73760223,-118.0895004,-117.0690002,-79.62879944,-85.621299743652,-96.778396606445,-84.712997436523,-85.390502929688,-77.271598815918,-111.63430023193,-122.13310241699,-87.259101867676,-75.228103637695,-80.699401855469,-93.452903747559,-84.323799133301,-105.37650299072,-96.9375,-77.84700012207,72.61669921875,-84.468299865723,-73.997901916504,-76.587997436523,-122.91369628906,-74.941497802734,-74.821998596191,-87.668601989746,-76.405197143555,-106.13159942627,-81.920402526855,-87.888298034668,-74.114303588867,-77.120399475098,-81.855903625488,-86.957099914551,-71.359703063965,-80.896697998047,-95.298400878906,-81.771499633789,-81.540100097656,-76.48560333252,-84.290100097656,-80.204399108887,-110.92590332031,-122.29679870605,-93.317596435547,-85.46410369873,-122.10940551758,105,-84.176300048828,-75.896202087402,-97.821998596191,-82.482498168945,-95.313903808594,-83.584899902344,-121.31159973145,-85.670799255371,-110.88729858398,-76.511596679688,-85.371002197266,-80.116798400879,-118.41949462891,-87.987998962402,-83.817199707031
15,DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
16,UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
17,Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1
