,ri,ir,rh,hr,hi,ih
0,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571
1,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.2857142857142857
2,0.5,0.5,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.5714285714285714
3,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571
4,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.42857142857142855
5,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.7142857142857143
6,0.5,0.5,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
7,0.5,0.5,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
8,0.5,0.5,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857
9,1.0,0.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
10,0.5,0.5,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.8571428571428571
11,1.0,0.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.7142857142857143
12,0.5,0.5,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
13,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
14,0.5,0.5,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
15,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.5714285714285714
16,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571
17,0.5,0.5,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.8571428571428571
18,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571
19,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714
20,0.5,0.5,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
21,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.2857142857142857
22,0.16666666666666666,0.8333333333333334,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.7142857142857143
23,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571
24,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
25,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.8571428571428571
26,0.5,0.5,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.2857142857142857
27,0.5,0.5,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.42857142857142855
28,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.8571428571428571
29,0.5,0.5,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
30,0.5,0.5,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
31,0.5,0.5,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.7142857142857143
32,0.16666666666666666,0.8333333333333334,1.0,0.0,0.5714285714285714,0.42857142857142855
33,0.0,1.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.7142857142857143
34,1.0,0.0,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.42857142857142855
35,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.2857142857142857
36,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.5714285714285714
37,0.5,0.5,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571
38,0.5,0.5,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.42857142857142855
39,0.16666666666666666,0.8333333333333334,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
40,0.0,1.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571
41,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.0,1.0
42,0.5,0.5,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855
43,0.5,0.5,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285
44,0.5,0.5,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.14285714285714285
45,0.5,0.5,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
46,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.7142857142857143
47,0.5,0.5,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.5714285714285714
48,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571
49,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.0,1.0
50,0.5,0.5,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.7142857142857143
51,1.0,0.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.7142857142857143
52,0.5,0.5,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.8571428571428571
53,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.2857142857142857
54,0.5,0.5,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714
55,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.42857142857142855
56,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714
57,0.5,0.5,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.42857142857142855
58,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
59,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143
