,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,gs3,pa,p1
NARS_S1,0.0,0.0,0.0,0.6072,0.0255,0.0154,0.0261,0.0058,0.1017,0.9429,0.6873
NARS_S2,0.0,0.0,0.0,0.0759,0.0465,0.0497,0.2859,0.002,0.0021,0.8683,0.9163
NARS_S3,0.0,0.0,0.0,0.0705,0.0789,0.6627,0.6551,0.0007,0.0405,0.7753,0.6394
BFI_S1,0.6072,0.0759,0.0705,0.0,0.0003,0.0225,0.0007,0.0003,0.6568,0.0139,0.0399
BFI_S2,0.0255,0.0465,0.0789,0.0003,0.0,0.0,0.0,0.0,0.9687,0.9549,0.971
BFI_S3,0.0154,0.0497,0.6627,0.0225,0.0,0.0,0.0,0.0,0.4356,0.8539,0.8381
BFI_S4,0.0261,0.2859,0.6551,0.0007,0.0,0.0,0.0,0.0057,0.7197,0.1034,0.0822
BFI_S5,0.0058,0.002,0.0007,0.0003,0.0,0.0,0.0057,0.0,0.0401,0.2141,0.6428
gs3,0.1017,0.0021,0.0405,0.6568,0.9687,0.4356,0.7197,0.0401,0.0,0.6573,0.2236
pa,0.9429,0.8683,0.7753,0.0139,0.9549,0.8539,0.1034,0.2141,0.6573,0.0,0.0
p1,0.6873,0.9163,0.6394,0.0399,0.971,0.8381,0.0822,0.6428,0.2236,0.0,0.0
