,gs3,pa
NARS_S1,,
NARS_S2,,
NARS_S3,,
BFI_S1,,
BFI_S2,0.27006522060474425,
BFI_S3,,
BFI_S4,,
BFI_S5,,
gs3,1.0,
pa,,1.0
p1,,0.7566310222779193
