,deployment,category_by,statistics,p_value
0,ri,side,0.4970542572934298,1230.0
0,ri,robot,0.06330468547366355,1021.0
0,ri,rationality,0.2057742929533698,1126.0
0,rh,side,0.6130879103229495,3211.5
0,rh,robot,0.3756345961520484,3075.0
0,rh,rationality,3.772266798309612e-15,571.0
0,ih,side,0.14568475289618207,2287.0
0,ih,robot,0.4097357086022563,2479.0
0,ih,rationality,1.253226803934492e-05,1400.0
